experiment_id,dataset,poisoning_rate,seed,defense,clean_count,poison_count,final_count,actual_poisoning_rate
PS-001,MalMem,0.01,42,E1_No_Defense,29541,298,29839,0.00998692985689869
PS-002,MalMem,0.01,42,E2_Integrity_Only,29541,298,29839,0.00998692985689869
PS-003,MalMem,0.01,42,E3_Anomaly_Only,29541,298,29839,0.00998692985689869
PS-004,MalMem,0.01,42,E4_PoisonShield,29541,298,29839,0.00998692985689869
PS-005,MalMem,0.01,123,E1_No_Defense,29541,298,29839,0.00998692985689869
PS-006,MalMem,0.01,123,E2_Integrity_Only,29541,298,29839,0.00998692985689869
PS-007,MalMem,0.01,123,E3_Anomaly_Only,29541,298,29839,0.00998692985689869
PS-008,MalMem,0.01,123,E4_PoisonShield,29541,298,29839,0.00998692985689869
PS-009,MalMem,0.01,2026,E1_No_Defense,29541,298,29839,0.00998692985689869
PS-010,MalMem,0.01,2026,E2_Integrity_Only,29541,298,29839,0.00998692985689869
PS-011,MalMem,0.01,2026,E3_Anomaly_Only,29541,298,29839,0.00998692985689869
PS-012,MalMem,0.01,2026,E4_PoisonShield,29541,298,29839,0.00998692985689869
PS-013,MalMem,0.05,42,E1_No_Defense,29541,1555,31096,0.050006431695394905
PS-014,MalMem,0.05,42,E2_Integrity_Only,29541,1555,31096,0.050006431695394905
PS-015,MalMem,0.05,42,E3_Anomaly_Only,29541,1555,31096,0.050006431695394905
PS-016,MalMem,0.05,42,E4_PoisonShield,29541,1555,31096,0.050006431695394905
PS-017,MalMem,0.05,123,E1_No_Defense,29541,1555,31096,0.050006431695394905
PS-018,MalMem,0.05,123,E2_Integrity_Only,29541,1555,31096,0.050006431695394905
PS-019,MalMem,0.05,123,E3_Anomaly_Only,29541,1555,31096,0.050006431695394905
PS-020,MalMem,0.05,123,E4_PoisonShield,29541,1555,31096,0.050006431695394905
PS-021,MalMem,0.05,2026,E1_No_Defense,29541,1555,31096,0.050006431695394905
PS-022,MalMem,0.05,2026,E2_Integrity_Only,29541,1555,31096,0.050006431695394905
PS-023,MalMem,0.05,2026,E3_Anomaly_Only,29541,1555,31096,0.050006431695394905
PS-024,MalMem,0.05,2026,E4_PoisonShield,29541,1555,31096,0.050006431695394905
PS-025,MalMem,0.1,42,E1_No_Defense,29541,3282,32823,0.0999908600676355
PS-026,MalMem,0.1,42,E2_Integrity_Only,29541,3282,32823,0.0999908600676355
PS-027,MalMem,0.1,42,E3_Anomaly_Only,29541,3282,32823,0.0999908600676355
PS-028,MalMem,0.1,42,E4_PoisonShield,29541,3282,32823,0.0999908600676355
PS-029,MalMem,0.1,123,E1_No_Defense,29541,3282,32823,0.0999908600676355
PS-030,MalMem,0.1,123,E2_Integrity_Only,29541,3282,32823,0.0999908600676355
PS-031,MalMem,0.1,123,E3_Anomaly_Only,29541,3282,32823,0.0999908600676355
PS-032,MalMem,0.1,123,E4_PoisonShield,29541,3282,32823,0.0999908600676355
PS-033,MalMem,0.1,2026,E1_No_Defense,29541,3282,32823,0.0999908600676355
PS-034,MalMem,0.1,2026,E2_Integrity_Only,29541,3282,32823,0.0999908600676355
PS-035,MalMem,0.1,2026,E3_Anomaly_Only,29541,3282,32823,0.0999908600676355
PS-036,MalMem,0.1,2026,E4_PoisonShield,29541,3282,32823,0.0999908600676355
PS-037,MalMem,0.2,42,E1_No_Defense,29541,7385,36926,0.19999458376211884
PS-038,MalMem,0.2,42,E2_Integrity_Only,29541,7385,36926,0.19999458376211884
PS-039,MalMem,0.2,42,E3_Anomaly_Only,29541,7385,36926,0.19999458376211884
PS-040,MalMem,0.2,42,E4_PoisonShield,29541,7385,36926,0.19999458376211884
PS-041,MalMem,0.2,123,E1_No_Defense,29541,7385,36926,0.19999458376211884
PS-042,MalMem,0.2,123,E2_Integrity_Only,29541,7385,36926,0.19999458376211884
PS-043,MalMem,0.2,123,E3_Anomaly_Only,29541,7385,36926,0.19999458376211884
PS-044,MalMem,0.2,123,E4_PoisonShield,29541,7385,36926,0.19999458376211884
PS-045,MalMem,0.2,2026,E1_No_Defense,29541,7385,36926,0.19999458376211884
